wmproductId,MÃ NỘI BỘ,product name,"LOẠI 
SIM","GIÁ 
PEE"
WM-e-SM-500MB-1D,WM-e-SM-500MB-1D+1,"Singapore, Malaysia, 1 Day, 500MB /day, 128kbps",ESIM,69000
WM-e-SM-1GB-1D,WM-e-SM-1GB-1D+1,"Singapore, Malaysia, 1 Day, 1GB /day, 128kbps",ESIM,69000
WM-e-SM-2GB-1D,WM-e-SM-2GB-1D+1,"Singapore, Malaysia, 1 Day, 2GB /day, 128kbps",ESIM,83000
WM-e-SM-3GB-1D,WM-e-SM-3GB-1D+1,"Singapore, Malaysia, 1 Day, 3GB /day, 128kbps",ESIM,91000
WM-e-SM-MAX-1D,WM-e-SM-MAX-1D+1,"Singapore, Malaysia, 1 Day, Unlimited data /day",ESIM,111000
WM-e-SM-10MAX-1D,WM-e-SM-10MAX-1D+1,"Singapore, Malaysia, 1 Day, Premium unlimited data/day",ESIM,119000
WM-e-SM-500MB-2D,WM-e-SM-500MB-2D+1,"Singapore, Malaysia, 2 Days, 500MB /day, 128kbps",ESIM,81000
WM-e-SM-1GB-2D,WM-e-SM-1GB-2D+1,"Singapore, Malaysia, 2 Days, 1GB /day, 128kbps",ESIM,91000
WM-e-SM-2GB-2D,WM-e-SM-2GB-2D+1,"Singapore, Malaysia, 2 Days, 2GB /day, 128kbps",ESIM,133000
WM-e-SM-3GB-2D,WM-e-SM-3GB-2D+1,"Singapore, Malaysia, 2 Days, 3GB /day, 128kbps",ESIM,152000
WM-e-SM-MAX-2D,WM-e-SM-MAX-2D+1,"Singapore, Malaysia, 2 Days, Unlimited data /day",ESIM,202000
WM-e-SM-10MAX-2D,WM-e-SM-10MAX-2D+1,"Singapore, Malaysia, 2 Days, Premium unlimited data/day",ESIM,222000
WM-e-SM-500MB-3D,WM-e-SM-500MB-3D+1,"Singapore, Malaysia, 3 Days, 500MB /day, 128kbps",ESIM,91000
WM-e-SM-1GB-3D,WM-e-SM-1GB-3D+1,"Singapore, Malaysia, 3 Days, 1GB /day, 128kbps",ESIM,97000
WM-e-SM-2GB-3D,WM-e-SM-2GB-3D+1,"Singapore, Malaysia, 3 Days, 2GB /day, 128kbps",ESIM,140000
WM-e-SM-3GB-3D,WM-e-SM-3GB-3D+1,"Singapore, Malaysia, 3 Days, 3GB /day, 128kbps",ESIM,168000
WM-e-SM-MAX-3D,WM-e-SM-MAX-3D+1,"Singapore, Malaysia, 3 Days, Unlimited data /day",ESIM,217000
WM-e-SM-10MAX-3D,WM-e-SM-10MAX-3D+1,"Singapore, Malaysia, 3 Days, Premium unlimited data/day",ESIM,239000
WM-e-SM-T3-3D,WM-e-SM-T3-3D+1,"Singapore, Malaysia, 3 Days, 3GB, 128kbps",ESIM,97000
WM-e-SM-T5-3D,WM-e-SM-T5-3D+1,"Singapore, Malaysia, 3 Days, 5GB, 128kbps",ESIM,133000
WM-e-SM-T10-3D,WM-e-SM-T10-3D+1,"Singapore, Malaysia, 3 Days, 10GB, 128kbps",ESIM,183000
WM-e-SM-T20-3D,WM-e-SM-T20-3D+1,"Singapore, Malaysia, 3 Days, 20GB, 128kbps",ESIM,325000
WM-e-SM-T30-3D,WM-e-SM-T30-3D+1,"Singapore, Malaysia, 3 Days, 30GB, 128kbps",ESIM,439000
WM-e-SM-T50-3D,WM-e-SM-T50-3D+1,"Singapore, Malaysia, 3 Days, 50GB, 128kbps",ESIM,668000
WM-e-SM-500MB-4D,WM-e-SM-500MB-4D+1,"Singapore, Malaysia, 4 Days, 500MB /day, 128kbps",ESIM,108000
WM-e-SM-1GB-4D,WM-e-SM-1GB-4D+1,"Singapore, Malaysia, 4 Days, 1GB /day, 128kbps",ESIM,128000
WM-e-SM-2GB-4D,WM-e-SM-2GB-4D+1,"Singapore, Malaysia, 4 Days, 2GB /day, 128kbps",ESIM,183000
WM-e-SM-3GB-4D,WM-e-SM-3GB-4D+1,"Singapore, Malaysia, 4 Days, 3GB /day, 128kbps",ESIM,202000
WM-e-SM-MAX-4D,WM-e-SM-MAX-4D+1,"Singapore, Malaysia, 4 Days, Unlimited data /day",ESIM,317000
WM-e-SM-10MAX-4D,WM-e-SM-10MAX-4D+1,"Singapore, Malaysia, 4 Days, Premium unlimited data/day",ESIM,352000
